country,year,co2_per_capita_tco2e_excl_lulucf,co2_total_mtco2e_excl_lulucf,energy_use_kg_oe_per_capita,gdp_current_usd,population_total,renewable_electricity_pct,renewable_energy_consumption_pct,urban_pop_pct,missing_indicator_count
MYS,2018,7.7287671310296,254.3612,2839.45244829846,358788845712.53,32910967.0,16.7095480216049,5.3,76.036,0
MYS,2019,7.63165524920668,255.2071,2878.2988852867,365177721021.516,33440596.0,16.1811968399747,5.7,76.607,0
MYS,2020,7.47703466654832,253.3934,2722.6031659631,337456163961.211,33889558.0,17.5710782624676,7.0,77.16,0
MYS,2021,7.55240028563929,258.9144,2793.49953523,373784823672.946,34282399.0,17.0004556137729,7.5,77.696,0
MYS,2022,7.90714805522435,274.3424,2867.09651939173,407605841348.235,34695493.0,17.0004556137729,7.5,78.214,0
MYS,2023,8.06585140284353,283.3235,2867.09651939173,399705137434.074,35126298.0,17.0004556137729,7.5,78.716,0
MYS,2024,8.06585140284353,283.3235,2867.09651939173,421972102253.57,35557673.0,17.0004556137729,7.5,79.201,0
PHL,1990,0.677384873861234,42.5768,424.030763734864,50508286641.5746,62854666.0,45.4248490143199,49.5,46.986,0
PHL,1991,0.665281201966088,42.8323,430.62062131618,51784144942.727,64382249.0,42.5084798627627,51.3,46.901,0
PHL,1992,0.707203707179817,46.6232,444.418600618215,60422328242.1803,65926125.0,39.1959798994975,47.7,46.815,0
PHL,1993,0.744520030402208,50.2779,410.827080255246,62036529147.1831,67530621.0,40.2460589186952,44.1,46.73,0
PHL,1994,0.785660055534329,54.2257,446.176123730806,73159336915.2718,69019291.0,39.9947470370006,43.1,46.645,0
PHL,1995,0.926987667068776,65.3955,459.479994263148,84644328727.4825,70546246.0,36.8570066162007,37.8,46.56,0
PHL,1996,0.949963569868626,68.5781,463.395880336417,94648084429.0341,72190242.0,36.9520799847441,35.8,46.475,0
PHL,1997,1.03972178688846,76.8446,477.495245543937,94106317565.0846,73908810.0,33.434681006106,33.4,46.39,0
PHL,1998,0.99708904843402,75.5704,482.924814401891,74492416329.9142,75791024.0,33.6090008654678,32.8,46.305,0
